H2O;https://cleanet.org/clean/community/activities/c4.html
Wavelength microns;Absorptivity (0-1)
0.100000000000000000000000000000;0.000000000000000000000000000000
0.434782608695480000000000000000;0.000000000002878031146735790000
0.465125894075192000000000000000;0.000000000104260045041826000000
0.465135509478290000000000000000;0.000000000114589004951426000000
0.465145125278949000000000000000;0.000000000126520016685561000000
0.465154741477193000000000000000;0.000000000144565026616306000000
0.465164358073048000000000000000;0.000000000168905001096675000000
0.465173975066537000000000000000;0.000000000188501991793544000000
0.465183592457685000000000000000;0.000000000208768002885051000000
0.465193210246518000000000000000;0.000000000230920949029212000000
0.465202828433059000000000000000;0.000000000255219956279973000000
0.465212447017333000000000000000;0.000000000281850986993959000000
0.465222065999366000000000000000;0.000000000310984016316240000000
0.465231685379181000000000000000;0.000000000342776029782499000000
0.465241305156803000000000000000;0.000000000377392006534194000000
0.465250925332258000000000000000;0.000000000414986045527144000000
0.465260545905569000000000000000;0.000000000455710025271117000000
0.465270166876762000000000000000;0.000000000499721042324097000000
0.465279788245861000000000000000;0.000000000547176970400187000000
0.465289410012890000000000000000;0.000000000598269989104949000000
0.465299032177875000000000000000;0.000000000653480047851929000000
0.465308654740840000000000000000;0.000000000717977011177595000000
0.465318277701810000000000000000;0.000000000789536991341322000000
0.465327901060810000000000000000;0.000000000860155946469376000000
0.465337524817863000000000000000;0.000000000933712995809799000000
0.465347148972996000000000000000;0.000000001011608019574340000000
0.465356773526232000000000000000;0.000000001094249024724550000000
0.465366398477597000000000000000;0.000000001183109055169500000000
0.465376023827115000000000000000;0.000000001290998974390330000000
0.465385649574810000000000000000;0.000000001408294036941980000000
0.465395275720708000000000000000;0.000000001518733028227360000000
0.465404902264833000000000000000;0.000000001631798030032880000000
0.465414529207210000000000000000;0.000000001751799039162450000000
0.465424156547863000000000000000;0.000000001886439005005510000000
0.465433784286818000000000000000;0.000000002026447010194940000000
0.465443412424098000000000000000;0.000000002164271983851050000000
0.465453040959730000000000000000;0.000000002306363988680000000000
0.465462669893737000000000000000;0.000000002453438008309660000000
0.465472299226144000000000000000;0.000000002605514026754460000000
0.465481928956976000000000000000;0.000000002762494011321340000000
0.465491559086257000000000000000;0.000000002924246955693380000000
0.465501189614013000000000000000;0.000000003090611988554310000000
0.465510820540269000000000000000;0.000000003261409031729560000000
0.465520451865048000000000000000;0.000000003436445017435120000000
0.465530083588375000000000000000;0.000000003615517996102820000000
0.465539715710276000000000000000;0.000000003798420022960160000000
0.465549348230775000000000000000;0.000000003984957031022420000000
0.465558981149897000000000000000;0.000000004174981027560420000000
0.465568614467666000000000000000;0.000000004368541972610270000000
0.465578248184107000000000000000;0.000000004568195044463150000000
0.465587882299246000000000000000;0.000000004779169948676550000000
0.465597516813106000000000000000;0.000000005008918946280970000000
0.465607151725713000000000000000;0.000000005240708977893860000000
0.465616787037091000000000000000;0.000000005467776009737690000000
0.465626422747265000000000000000;0.000000005701966010462910000000
0.465636058856260000000000000000;0.000000005935012037383560000000
