CO2;
Wavelength microns;Absorptivity (0-1)
0.100000000000000000000000000000;0.000000000000000000000000000000
0.769230769230254000000000000000;0.000000000000001998401444325280
0.769257068617215000000000000000;0.000000000000001998401444325280
0.769283369802548000000000000000;0.000000000000001998401444325280
0.769309672786437000000000000000;0.000000000000001998401444325280
0.769335977569067000000000000000;0.000000000000001998401444325280
0.769362284150621000000000000000;0.000000000000001998401444325280
0.769388592531286000000000000000;0.000000000000001998401444325280
0.769414902711245000000000000000;0.000000000000001998401444325280
0.769441214690682000000000000000;0.000000000000001998401444325280
0.769467528469783000000000000000;0.000000000000001998401444325280
0.769493844048732000000000000000;0.000000000000001998401444325280
0.769520161427714000000000000000;0.000000000000001998401444325280
0.769546480606913000000000000000;0.000000000000001998401444325280
0.769572801586515000000000000000;0.000000000000001998401444325280
0.769599124366703000000000000000;0.000000000000001998401444325280
0.769625448947664000000000000000;0.000000000000001998401444325280
0.769651775329580000000000000000;0.000000000000001998401444325280
0.769678103512638000000000000000;0.000000000000001998401444325280
0.769704433497022000000000000000;0.000000000000001998401444325280
0.769730765282917000000000000000;0.000000000000001998401444325280
0.769757098870508000000000000000;0.000000000000001998401444325280
0.769783434259980000000000000000;0.000000000000001998401444325280
0.769809771451517000000000000000;0.000000000000001998401444325280
0.769836110445306000000000000000;0.000000000000001998401444325280
0.769862451241530000000000000000;0.000000000000001998401444325280
0.769888793840375000000000000000;0.000000000000001998401444325280
0.769915138242025000000000000000;0.000000000000001998401444325280
0.769941484446667000000000000000;0.000000000000001998401444325280
0.769967832454485000000000000000;0.000000000000001998401444325280
0.769994182265663000000000000000;0.000000000000001998401444325280
0.770020533880389000000000000000;0.000000000000001998401444325280
0.770046887298845000000000000000;0.000000000000001998401444325280
0.770073242521218000000000000000;0.000000000000001998401444325280
0.770099599547693000000000000000;0.000000000000001998401444325280
0.770125958378456000000000000000;0.000000000000001998401444325280
0.770152319013690000000000000000;0.000000000000001998401444325280
0.770178681453583000000000000000;0.000000000000001998401444325280
0.770205045698318000000000000000;0.000000000000001998401444325280
0.770231411748082000000000000000;0.000000000000001998401444325280
0.770257779603059000000000000000;0.000000000000001998401444325280
0.770284149263436000000000000000;0.000000000000001998401444325280
0.770310520729397000000000000000;0.000000000000001998401444325280
0.770336894001129000000000000000;0.000000000000001998401444325280
0.770363269078815000000000000000;0.000000000000001998401444325280
0.770389645962643000000000000000;0.000000000000001998401444325280
0.770416024652798000000000000000;0.000000000000001998401444325280
0.770442405149465000000000000000;0.000000000000001998401444325280
0.770468787452829000000000000000;0.000000000000001998401444325280
0.770495171563077000000000000000;0.000000000000001998401444325280
0.770521557480394000000000000000;0.000000000000001998401444325280
0.770547945204965000000000000000;0.000000000000001998401444325280
0.770574334736977000000000000000;0.000000000000001998401444325280
0.770600726076614000000000000000;0.000000000000001998401444325280
0.770627119224063000000000000000;0.000000000000001998401444325280
0.770653514179510000000000000000;0.000000000000001998401444325280
0.770679910943140000000000000000;0.000000000000001998401444325280
